datetime,price
2023-09-03 08:04:47.431479,25943.510833333334
2023-09-03 08:05:47.493526,25943.492499999997
2023-09-03 08:06:47.553712,25943.83
2023-09-03 08:07:47.612062,25943.5975
2023-09-03 08:08:47.671926,25942.974999999995
2023-09-03 08:09:47.730915,25941.42583333333
2023-09-03 08:10:47.790981,25939.32416666667
2023-09-03 08:11:47.850501,25937.251666666667
2023-09-03 08:12:47.909885,25935.418333333335
2023-09-03 08:13:47.971799,25931.91833333333
2023-09-03 08:14:48.033151,25928.36083333333
2023-09-03 08:15:48.099516,25925.894166666665
2023-09-03 08:16:48.158827,25923.168333333335
2023-09-03 08:17:48.218480,25920.62
2023-09-03 08:18:48.278252,25917.218333333334
2023-09-03 08:19:48.335786,25913.914999999997
2023-09-03 08:20:48.394927,25911.186666666665
2023-09-03 08:21:48.460457,25908.879166666666
2023-09-03 08:22:48.521957,25907.517499999998
2023-09-03 08:23:48.583915,25905.766666666663
2023-09-03 08:24:48.644440,25903.05083333333
2023-09-03 08:25:48.706165,25901.818333333333
2023-09-03 08:26:48.765974,25900.77416666667
2023-09-03 08:27:48.826823,25899.555833333336
2023-09-03 08:28:48.887372,25898.024166666666
2023-09-03 08:29:48.948210,25896.796666666665
2023-09-03 08:30:49.007153,25896.83083333333
2023-09-03 08:31:49.066980,25895.78916666667
2023-09-03 08:32:49.126333,25895.37166666667
2023-09-03 08:33:49.187490,25894.517499999998
2023-09-03 08:34:49.247756,25893.54416666667
2023-09-03 08:35:49.311072,25893.295000000002
2023-09-03 08:36:49.374124,25894.010833333334
2023-09-03 08:37:49.433657,25894.295000000002
2023-09-03 08:38:49.490772,25894.6825
2023-09-03 08:39:49.549003,25895.119166666667
2023-09-03 08:40:49.608343,25896.126666666667
2023-09-03 08:41:49.669572,25896.762499999997
2023-09-03 08:42:49.730709,25895.678333333333
2023-09-03 08:43:49.790941,25895.712499999998
2023-09-03 08:44:49.851855,25894.2075
2023-09-03 08:45:49.911232,25893.3775
2023-09-03 08:46:49.970864,25894.12833333333
2023-09-03 08:47:50.028756,25893.461666666666
2023-09-03 08:48:50.088588,25892.87833333333
2023-09-03 08:49:50.149044,25891.946666666667
2023-09-03 08:50:50.210780,25890.429999999997
2023-09-03 08:51:50.270498,25888.924166666664
