datetime,price
2023-08-28 13:14:03.307882,26100.555833333332
2023-08-28 13:15:03.365559,26100.222500000003
2023-08-28 13:16:03.437815,26099.96666666667
2023-08-28 13:17:03.506177,26097.345
2023-08-28 13:18:03.570947,26098.094166666666
2023-08-28 13:19:03.636365,26098.992500000004
2023-08-28 13:20:03.700470,26097.578333333335
2023-08-28 13:21:03.763527,26097.583333333332
2023-08-28 13:22:03.825667,26097.857500000002
2023-08-28 13:23:03.887796,26099.09833333333
2023-08-28 13:24:03.957183,26098.926666666666
2023-08-28 13:25:04.024222,26098.86
2023-08-28 13:26:04.085877,26098.4525
2023-08-28 13:27:04.153704,26097.594166666666
2023-08-28 13:28:04.216353,26096.614166666666
2023-08-28 13:29:04.278926,26097.60666666667
2023-08-28 13:30:04.345898,26097.656666666666
2023-08-28 13:31:04.414091,26097.32083333333
2023-08-28 13:32:04.483008,26101.368333333332
2023-08-28 13:33:04.549645,26103.995
2023-08-28 13:34:04.613497,26106.303333333333
2023-08-28 13:35:04.679974,26107.87833333333
2023-08-28 13:36:04.742804,26111.52666666667
2023-08-28 13:37:04.806359,26113.492499999997
2023-08-28 13:38:04.870188,26116.0325
2023-08-28 13:39:04.934287,26118.8625
2023-08-28 13:40:04.997236,26120.99083333333
2023-08-28 13:41:05.062439,26122.750833333328
2023-08-28 13:42:05.127918,26124.158333333336
2023-08-28 13:43:05.189851,26125.968333333334
2023-08-28 13:44:05.254104,26125.506666666668
2023-08-28 13:45:05.316498,26126.336666666666
2023-08-28 13:46:05.378457,26125.924166666664
2023-08-28 13:47:05.445656,26125.293333333335
2023-08-28 13:48:05.510366,26124.44166666667
2023-08-28 13:49:05.575135,26123.842500000002
2023-08-28 13:50:05.635628,26122.02
2023-08-28 13:51:05.695208,26120.010833333334
2023-08-28 13:52:05.758776,26119.962500000005
2023-08-28 13:53:05.819357,26117.998333333337
2023-08-28 13:54:05.881582,26115.14333333333
2023-08-28 13:55:05.943847,26112.805833333336
2023-08-28 13:56:06.006950,26111.950833333336
2023-08-28 13:57:06.068560,26112.489166666666
2023-08-28 13:58:06.128400,26109.805833333336
2023-08-28 13:59:06.185859,26107.453333333335
2023-08-28 14:00:06.244984,26105.595
2023-08-28 14:01:06.304112,26101.564166666663
2023-08-28 14:02:06.364478,26099.016666666666
2023-08-28 14:03:06.425298,26097.0125
2023-08-28 14:04:06.492068,26092.9525
2023-08-28 14:05:06.548380,26093.3275
2023-08-28 14:06:06.609861,26092.19583333333
2023-08-28 14:07:06.669519,26091.06583333333
2023-08-28 14:08:06.726835,26088.196666666667
2023-08-28 14:09:06.785746,26084.479999999996
2023-08-28 14:10:06.844468,26084.21416666667
2023-08-28 14:11:06.905408,26085.2825
2023-08-28 14:12:06.961694,26084.983333333334
2023-08-28 14:13:07.064790,26086.430833333336
2023-08-28 14:14:07.127201,26087.70166666667
2023-08-28 14:15:07.194684,26090.576666666664
2023-08-28 14:16:07.255223,26095.36666666667
2023-08-28 14:17:07.323297,26095.33916666667
2023-08-28 14:18:07.389858,26097.034166666665
2023-08-28 14:19:07.455973,26099.460833333334
